0,420.473,426.875,390.284,479.963,500,388.067,588.568,643.484,377.318
419.331,0,21.8643,797.793,402.056,500,180.402,799.414,896.162,720.804
427.452,21.331,0,811.176,415.438,500,193.784,812.875,909.544,734.186
389.831,797.317,811.972,0,740.947,500,657.932,531.09,546.134,234.805
488.189,401.395,416.05,741.445,0,500,258.686,463.846,498.551,553.906
386.34,180.874,195.529,639.359,238.142,0,24.3088,635.517,732.248,562.369
386.049,178.422,193.077,655.534,256.318,500,0,653.693,750.423,578.544
586.024,807.386,822.042,529.832,449.397,500,664.678,0,82.0354,269.75
642.862,896.757,911.412,545.113,499.282,500,754.048,77.1048,0,319.016
375.41,723.566,738.221,238.113,556.946,500,584.18,284.363,325.495,0
